filename, none, some, many, few, alternate
G-ex.txt, 3, False, NP-HARD, 0, True
P3.txt, -1, False, NP-HARD, 1, True
bht.txt, 6, False, NP-HARD, 0, False
common-1-100.txt, -1, False, NP-HARD, -1, False
common-1-1000.txt, -1, False, NP-HARD, -1, False
common-1-1500.txt, -1, False, NP-HARD, -1, False
common-1-20.txt, -1, False, -1, -1, False
common-1-2000.txt, -1, False, NP-HARD, -1, False
common-1-250.txt, -1, False, NP-HARD, -1, False
common-1-2500.txt, -1, False, NP-HARD, 1, False
common-1-3000.txt, -1, False, NP-HARD, 1, False
common-1-3500.txt, -1, False, NP-HARD, 1, False
common-1-4000.txt, -1, False, NP-HARD, 1, False
common-1-4500.txt, -1, False, NP-HARD, 1, True
